K, Precision , Recall , Accuracy 
1, 1.00 , 1.00 , 1.00 
2, 1.00 , 1.00 , 1.00 
3, 1.00 , 1.00 , 1.00 
4, 0.92 , 0.93 , 0.90 
5, 1.00 , 1.00 , 1.00 
6, 0.89 , 0.93 , 0.90 
7, 0.89 , 0.93 , 0.90 
8, 0.89 , 0.93 , 0.90 
9, 0.89 , 0.93 , 0.90 
10, 1.00 , 1.00 , 1.00 
11, 1.00 , 1.00 , 1.00 
12, 0.89 , 0.93 , 0.90 
13, 0.89 , 0.93 , 0.90 
14, 0.89 , 0.93 , 0.90 
15, 1.00 , 1.00 , 1.00 
16, 0.89 , 0.93 , 0.90 
17, 1.00 , 1.00 , 1.00 
18, 1.00 , 1.00 , 1.00 
19, 0.81 , 0.87 , 0.80 
20, 0.75 , 0.76 , 0.70 
21, 0.81 , 1.00 , 0.70 
22, 0.44 , 0.80 , 0.40 
23, 0.44 , 0.80 , 0.40 
